@id,법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,공동부령정보,시행일자,자법타법여부,법령상세링크
1,253527,현행,10ㆍ27법난 피해자의 명예회복 등에 관한 법률,10ㆍ27법난법,010719,20230808,19592,타법개정,1371000,문화체육관광부,법률,,20230808,,/DRF/lawService.do?OC=username001&target=law&MST=253527&type=HTML&mobileYn=&efYd=20230808
2,249727,현행,10ㆍ27법난 피해자의 명예회복 등에 관한 법률 시행령,10ㆍ27법난법 시행령,010831,20230411,33382,타법개정,1371000,문화체육관광부,대통령령,,20230605,,/DRF/lawService.do?OC=username001&target=law&MST=249727&type=HTML&mobileYn=&efYd=20230605
3,262693,현행,10ㆍ29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법,,014656,20240521,20427,제정,1741000,행정안전부,법률,,20240521,,/DRF/lawService.do?OC=username001&target=law&MST=262693&type=HTML&mobileYn=&efYd=20240521
4,253949,현행,119구조ㆍ구급에 관한 법률,119법,011349,20230816,19625,일부개정,1661000,소방청,법률,,20240217,,/DRF/lawService.do?OC=username001&target=law&MST=253949&type=HTML&mobileYn=&efYd=20240217
5,261847,현행,119구조ㆍ구급에 관한 법률 시행령,119법 시행령,011452,20240423,34433,일부개정,1661000,소방청,대통령령,,20240423,,/DRF/lawService.do?OC=username001&target=law&MST=261847&type=HTML&mobileYn=&efYd=20240423
6,261953,현행,119구조ㆍ구급에 관한 법률 시행규칙,119법 시행규칙,011457,20240423,00479,일부개정,1661000,소방청,행정안전부령,,20240423,,/DRF/lawService.do?OC=username001&target=law&MST=261953&type=HTML&mobileYn=&efYd=20240423
7,24144,현행,1945년이후종전의규정에의한학교졸업자자격인정령,,004546,19691204,04401,전부개정,1342000,교육부,대통령령,,19691204,,/DRF/lawService.do?OC=username001&target=law&MST=24144&type=HTML&mobileYn=&efYd=19691204
8,206017,현행,1959년 12월 31일 이전에 퇴직한 군인의 퇴직급여금지급에 관한 특별법,1959이전군퇴직금법,009678,20181224,16029,일부개정,1290000,국방부,법률,,20190625,,/DRF/lawService.do?OC=username001&target=law&MST=206017&type=HTML&mobileYn=&efYd=20190625
9,208133,현행,1959년 12월 31일 이전에 퇴직한 군인의 퇴직급여금지급에 관한 특별법 시행령,1959이전군퇴직금법 시행령,009990,20190325,29637,일부개정,1290000,국방부,대통령령,,20190325,,/DRF/lawService.do?OC=username001&target=law&MST=208133&type=HTML&mobileYn=&efYd=20190325
10,3274,현행,1980년해직공무원의보상등에관한특별조치법,1980해직자보상법,001348,19890329,04101,제정,1760000,인사혁신처,법률,,19890329,,/DRF/lawService.do?OC=username001&target=law&MST=3274&type=HTML&mobileYn=&efYd=19890329
11,204611,현행,1980년해직공무원의보상등에관한특별조치법시행령,1980해직자보상법 시행령,004549,20180918,29181,타법개정,1760000,인사혁신처,대통령령,,20180921,,/DRF/lawService.do?OC=username001&target=law&MST=204611&type=HTML&mobileYn=&efYd=20180921
12,243115,현행,1인 창조기업 육성에 관한 법률,1인창조기업법,011370,20220610,18961,일부개정,1421000,중소벤처기업부,법률,,20221211,,/DRF/lawService.do?OC=username001&target=law&MST=243115&type=HTML&mobileYn=&efYd=20221211
